instance,observation_time,collection_time,cpu_usage,memory_usage,network_usage,wattage,num_processes,wattage_kepler,wattage_kepler_new,wattage_scaph,wattage_auxilary,temperture
130.149.158.150:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,1.6675999999999886,0.19202411241034967,0.7045757419173334,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:39:16,2026-01-22 17:39:17,0.5466000000008308,0,0.010362880000000001,0,0,0,,0,0,0
10.133.7.103:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,0.12159999999999656,0.020081122254162254,0.09808430109433333,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,0.8757999999986351,0.157472815962583,6.36193978,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,0.32880000000013887,0.4267160359515496,3.9862997199999994,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,0.14719999999991726,0.13029049146922544,1.9795921800000005,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,2.7745999999999,0.2518348429298889,2.4533153287687783,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,1.46800000000002,0.20743722709475654,0.7033356342951671,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:39:31,2026-01-22 17:39:33,0.5116000000032863,0,0.01032192,0,0,0,,0,0,0
10.133.7.103:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,0.0924000000000045,0.02012007697108875,0.014045000000000002,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,0.8485999999988418,0.15750690567044778,6.040810159999999,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,0.3308000000001586,0.42693599838002794,4.006314280000001,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,0.14719999999945277,0.13027052428399066,1.9924791199999998,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,2.375200000000139,0.27006306188383067,2.523866071895001,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,1.409400000000035,0.23561059305082954,0.5152449318741668,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:39:49,2026-01-22 17:39:52,0.5043999999997186,0,0.010199040000000001,0,0,0,,0,0,0
10.133.7.103:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,0.1040000000000054,0.020198707153007533,0.021885140000000004,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,0.7943999999994412,0.15751941515816326,5.396405979999998,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,0.3265999999999577,0.42712338481423595,4.009834120000001,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,0.1471999999999303,0.1302043718205651,2.00313924,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,1.4244000000000132,0.2845755258562742,2.4196600799999985,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,1.2164000000000117,0.26186094953436756,0.4571884087254447,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:40:06,2026-01-22 17:40:07,0.48660000000189474,0,0.00882688,0,0,0,,0,0,0
10.133.7.103:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,0.11239999999999874,0.02020545129562945,0.03521394000000001,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,0.6510000000035506,0.15744665976099637,4.38753966,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,0.336600000000019,0.4280701466493817,4.01703254,0,0,0,0,0,0,0
130.149.158.131:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,0.14819999999999364,0.1301634908840692,2.00392544,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,0.7488000000000636,0.29060336980594004,2.20195094,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,1.1254000000000124,0.2715568953416355,0.434953838188333,0,0,0,0,0,0,49
elise.ise.tu-berlin.de:9100,2026-01-22 17:40:23,2026-01-22 17:40:27,0.48640000000079,0,0.00864256,0,0,0,,0,0,0
